"","Zona","Provincia","Canton","Distrito","Circuito","Fecha Infraccion","Hora Infraccion","tipo_muert_matriz","Edad","Sexo","Estado Civil","Nacionalidad"
"18","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","CONTROL","05/05/2014","22:20","Asesinatos","27","MASCULINO","SOLTERO","ECUADOR"
"19","ZONA 5","LOS_RIOS","SAN_JACINTO_DE_BUENA_FE","BUENA FE","BUENA FE ESTE","06/05/2014","20:31","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"20","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","GALO PLAZA","14/01/2014","11:16","Asesinatos","13","MASCULINO","SOLTERO","ECUADOR"
"21","ZONA 2","ORELLANA","PUERTO_FRANCISCO_DE_ORELLANA","ORELLANA LORETO","NUEVO PARAISO","26/01/2014","5:00","Asesinatos","31","MASCULINO","SOLTERO","ECUADOR"
"22","ZONA 9","PICHINCHA","QUITO","MANUELA SAENZ","ITCHIMBIA","07/05/2014","17:45","Homicidios","59","MASCULINO","CASADO","ECUADOR"
"23","ZONA 9","PICHINCHA","QUITO","MANUELA SAENZ","SAN JUAN","08/05/2014","14:00","Homicidios","32","MASCULINO","SOLTERO","ECUADOR"
"24","ZONA 1","SUCUMBIOS","SHUSHUFINDI","SHUSHUFINDI","SHUSHUFINDI CENTRO","08/05/2014","19:20","Homicidios","30","MASCULINO","SOLTERO","ECUADOR"
"25","ZONA 8","GUAYAS","GUAYAQUIL","9 DE OCTUBRE","CHILE","08/05/2014","22:45","Homicidios","23","MASCULINO","SOLTERO","ECUADOR"
"26","ZONA 9","PICHINCHA","QUITO","LA DELICIA","LA ROLDOS","08/05/2014","23:00","Homicidios","19","FEMENINO","SOLTERO","ECUADOR"
"27","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","CONTROL","09/05/2014","11:30","Asesinatos","27","MASCULINO","SOLTERO","ECUADOR"
"28","ZONA 1","ESMERALDAS","ESMERALDAS","ESMERALDAS","GUACHARACA","10/05/2014","2:30","Asesinatos","41","FEMENINO","SOLTERO","ECUADOR"
"29","ZONA 8","GUAYAS","GUAYAQUIL","FLORIDA","MARTHA DE ROLDOS","09/05/2014","15:30","Asesinatos","20","FEMENINO","SOLTERO","ECUADOR"
"30","ZONA 8","GUAYAS","GUAYAQUIL","FLORIDA","MARTHA DE ROLDOS","09/05/2014","15:30","Homicidios","3","FEMENINO","SOLTERO","ECUADOR"
"31","ZONA 6","AZUAY","CUENCA","CUENCA SUR","MOLLETURO","10/05/2014","3:00","Asesinatos","24","MASCULINO","SOLTERO","ECUADOR"
"32","ZONA 8","GUAYAS","GUAYAQUIL","NUEVA PROSPERINA","MONTE SINAI","09/05/2014","12:00","Homicidios","17","MASCULINO","SOLTERO","ECUADOR"
"33","ZONA 1","ESMERALDAS","QUININDE","QUININDE","ROSA ZARATE","10/05/2014","23:45","Asesinatos","32","MASCULINO","SOLTERO","ECUADOR"
"34","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","CHILIBULO","11/05/2014","4:20","Homicidios","24","MASCULINO","SOLTERO","ECUADOR"
"35","ZONA 8","GUAYAS","GUAYAQUIL","SUR","FLORESTA","11/05/2014","0:20","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"36","ZONA 5","GUAYAS","EL_TRIUNFO","EL TRIUNFO BUCAY","EL TRIUNFO CENTRO","10/05/2014","16:30","Asesinatos","26","MASCULINO","SOLTERO","ECUADOR"
"37","ZONA 8","GUAYAS","GUAYAQUIL","SUR","GUASMO","11/05/2014","2:30","Asesinatos","35","MASCULINO","SOLTERO","ECUADOR"
"38","ZONA 8","GUAYAS","GUAYAQUIL","SUR","GUASMO","10/05/2014","23:40","Asesinatos","35","MASCULINO","CASADO","ECUADOR"
"39","ZONA 5","SANTA_ELENA","SANTA_ELENA","SANTA ELENA","SANTA ELENA CENTRO","11/05/2014","14:40","Homicidios","39","MASCULINO","DIVORCIADO","ECUADOR"
"40","ZONA 8","GUAYAS","GUAYAQUIL","PORTETE","SUBURBIO","11/05/2014","12:30","Homicidios","30","MASCULINO","SOLTERO","ECUADOR"
"41","ZONA 8","GUAYAS","GUAYAQUIL","SUR","7 LAGOS","11/05/2014","23:16","Homicidios","19","MASCULINO","SOLTERO","ECUADOR"
"42","ZONA 1","ESMERALDAS","ESMERALDAS","ESMERALDAS","LA TOLITA","11/05/2014","8:01","Asesinatos","42","MASCULINO","SOLTERO","ECUADOR"
"43","ZONA 5","LOS_RIOS","BABA","BABAHOYO","BABA","12/05/2014","22:30","Asesinatos","30","MASCULINO","SOLTERO","ECUADOR"
"44","ZONA 2","NAPO","TENA","TENA","AHUANO","11/02/2014","1:00","Asesinatos","77","MASCULINO","SOLTERO","ECUADOR"
"45","ZONA 9","PICHINCHA","QUITO","MANUELA SAENZ","MONJAS COLLACOTO","12/05/2014","7:30","Homicidios","25","FEMENINO","CASADO","ECUADOR"
"46","ZONA 5","GUAYAS","SIMON_BOLIVAR","JUJAN SIMON BOLIVAR","LORENZO DE GARAICOA","12/05/2014","7:30","Asesinatos","55","MASCULINO","SOLTERO","ECUADOR"
"47","ZONA 4","SANTO_DOMINGO_DE_LOS_TSACHILAS","SANTO_DOMINGO","SANTO DOMINGO ESTE","SANTA MARTHA SUR","13/05/2014","23:50","Homicidios","52","FEMENINO","CASADO","ECUADOR"
"48","ZONA 9","PICHINCHA","QUITO","LA DELICIA","COLINAS DEL NORTE","15/05/2014","12:10","Homicidios","21","MASCULINO","SOLTERO","ECUADOR"
"49","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","ESTEROS","15/05/2014","11:30","Homicidios","23","MASCULINO","SOLTERO","ECUADOR"
"50","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","LA MERCED","15/05/2014","20:50","Asesinatos","32","MASCULINO","SOLTERO","ECUADOR"
"51","ZONA 5","LOS_RIOS","PALENQUE","VINCES","JAUNECHE","16/05/2014","6:00","Asesinatos","29","MASCULINO","SOLTERO","ECUADOR"
"52","ZONA 5","GUAYAS","MILAGRO","MILAGRO","MARISCAL SUCRE","16/05/2014","11:00","Asesinatos","42","FEMENINO","SOLTERO","ECUADOR"
"53","ZONA 3","TUNGURAHUA","AMBATO","AMBATO NORTE","LA MATRIZ","16/05/2014","10:30","Asesinatos","26","FEMENINO","SOLTERO","ECUADOR"
"54","ZONA 1","ESMERALDAS","SAN_LORENZO","SAN LORENZO","CARONDELET","17/05/2014","15:50","Asesinatos","34","MASCULINO","SOLTERO","ECUADOR"
"55","ZONA 7","EL_ORO","PASAJE","PASAJE","BUENA VISTA","18/05/2014","2:15","Asesinatos","32","MASCULINO","SOLTERO","ECUADOR"
"56","ZONA 5","LOS_RIOS","VINCES","VINCES","VINCES SUR","18/05/2014","20:45","Asesinatos","28","MASCULINO","SOLTERO","ECUADOR"
"57","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","GALO PLAZA","18/05/2014","21:30","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"58","ZONA 9","PICHINCHA","QUITO","LA DELICIA","CARCELEN","18/05/2014","4:00","Homicidios","24","FEMENINO","SOLTERO","ECUADOR"
"59","ZONA 9","PICHINCHA","QUITO","LA DELICIA","CARCELEN","19/05/2014","4:00","Homicidios","35","FEMENINO","CASADO","ECUADOR"
"60","ZONA 9","PICHINCHA","QUITO","LA DELICIA","CARCELEN","18/05/2014","4:00","Homicidios","8","FEMENINO","SOLTERO","ECUADOR"
"61","ZONA 9","PICHINCHA","QUITO","LA DELICIA","CARCELEN","18/05/2014","4:00","Homicidios","5","FEMENINO","SOLTERO","ECUADOR"
"62","ZONA 9","PICHINCHA","QUITO","EUGENIO ESPEJO","LA MARISCAL","18/05/2014","12:30","Homicidios","20","MASCULINO","SOLTERO","ECUADOR"
"63","ZONA 6","CANAR","LA_TRONCAL","LA TRONCAL","TRONCAL CENTRO","22/01/2014","1:00","Homicidios","25","MASCULINO","SOLTERO","ECUADOR"
"64","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","GALO PLAZA","19/05/2014","14:40","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"65","ZONA 4","MANABI","PORTOVIEJO","PORTOVIEJO","LOS CEREZOS","20/05/2014","4:45","Homicidios","62","MASCULINO","CASADO","ECUADOR"
"66","ZONA 3","TUNGURAHUA","AMBATO","AMBATO SUR","MIÑARICA","20/05/2014","3:00","Asesinatos","62","FEMENINO","DIVORCIADO","ECUADOR"
"67","ZONA 8","GUAYAS","GUAYAQUIL","MODELO","ALBORADA","20/05/2014","22:30","Sicariatos","32","MASCULINO","SOLTERO","ECUADOR"
"68","ZONA 4","SANTO_DOMINGO_DE_LOS_TSACHILAS","SANTO_DOMINGO","SANTO DOMINGO OESTE","EL COLORADO","21/05/2014","21:30","Asesinatos","37","MASCULINO","CASADO","ECUADOR"
"69","ZONA 8","GUAYAS","DURAN","DURAN","RECREO","22/05/2014","18:00","Asesinatos","40","MASCULINO","SOLTERO","ECUADOR"
"70","ZONA 3","COTOPAXI","LATACUNGA","LATACUNGA","GUAYTACAMA","23/05/2014","3:00","Homicidios","63","MASCULINO","CASADO","ECUADOR"
"71","ZONA 3","CHIMBORAZO","RIOBAMBA","RIOBAMBA","LA CONDAMINE","24/05/2014","5:30","Homicidios","27","MASCULINO","SOLTERO","ECUADOR"
"72","ZONA 7","EL_ORO","SANTA_ROSA","SANTA ROSA","BELLA MARIA","24/05/2014","8:00","Asesinatos","57","MASCULINO","CASADO","ECUADOR"
"73","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","SOLANDA","25/05/2014","2:29","Homicidios","42","MASCULINO","SOLTERO","ECUADOR"
"74","ZONA 9","PICHINCHA","QUITO","CALDERON","GUAYLLABAMBA","25/05/2014","1:15","Homicidios","29","MASCULINO","SOLTERO","ECUADOR"
"75","ZONA 6","CANAR","CANAR","CAÑAR","INGAPIRCA","25/05/2014","1:45","Homicidios","21","MASCULINO","UNION LIBRE","ECUADOR"
"76","ZONA 4","MANABI","MANTA","MANTA","UNIVERSIDAD","25/05/2014","7:45","Asesinatos","24","MASCULINO","SOLTERO","ECUADOR"
"77","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","CHILIBULO","26/05/2014","3:30","Homicidios","28","MASCULINO","SOLTERO","ECUADOR"
"78","ZONA 5","LOS_RIOS","VINCES","VINCES","ANTONIO SOTOMAYOR","25/05/2014","20:30","Asesinatos","62","MASCULINO","UNION LIBRE","ECUADOR"
"79","ZONA 5","GUAYAS","NARANJAL","NARANJAL BALAO","NARANJAL SUR","26/05/2014","12:30","Asesinatos","24","MASCULINO","SOLTERO","ECUADOR"
"80","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","MAGDALENA","26/05/2014","12:30","Homicidios","29","MASCULINO","UNION LIBRE","ECUADOR"
"81","ZONA 6","CANAR","LA_TRONCAL","LA TRONCAL","TRONCAL CENTRO","04/02/2014","15:00","Homicidios","54","MASCULINO","SOLTERO","ECUADOR"
"82","ZONA 6","CANAR","LA_TRONCAL","LA TRONCAL","TRONCAL OESTE","24/04/2014","22:50","Homicidios","30","MASCULINO","SOLTERO","ECUADOR"
"83","ZONA 6","CANAR","BIBLIAN","AZOGUES","BIBLIAN","16/03/2014","19:45","Homicidios","17","MASCULINO","SOLTERO","ECUADOR"
"84","ZONA 1","ESMERALDAS","ESMERALDAS","ESMERALDAS","SAN MATEO","27/05/2014","15:50","Asesinatos","57","MASCULINO","DIVORCIADO","ECUADOR"
"85","ZONA 4","MANABI","PUERTO_LOPEZ","JIPIJAPA","PUERTO LOPEZ","27/05/2014","12:00","Homicidios","20","MASCULINO","SOLTERO","ECUADOR"
"86","ZONA 9","PICHINCHA","QUITO","LA DELICIA","LA BOTA","28/05/2014","12:30","Homicidios","18","MASCULINO","SOLTERO","ECUADOR"
"87","ZONA 6","AZUAY","CUENCA","CUENCA NORTE","TOTORACOCHA","29/05/2014","0:31","Asesinatos","43","FEMENINO","DIVORCIADO","ECUADOR"
"88","ZONA 8","GUAYAS","GUAYAQUIL","SUR","UNION DE BANANEROS","28/05/2014","21:00","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"89","ZONA 2","NAPO","CARLOS_JULIO_AROSEMENA_TOLA","TENA","AROSEMENA TOLA","22/03/2014","12:00","Asesinatos","76","MASCULINO","VIUDO","ECUADOR"
"90","ZONA 7","EL_ORO","EL_GUABO","PASAJE","LA IBERIA","30/05/2014","0:30","Asesinatos","30","FEMENINO","SOLTERO","ECUADOR"
"91","ZONA 5","GUAYAS","GENERAL_ANTONIO_ELIZALDE","EL TRIUNFO BUCAY","BUCAY","29/05/2014","20:30","Asesinatos","35","MASCULINO","CASADO","ECUADOR"
"92","ZONA 1","SUCUMBIOS","SHUSHUFINDI","SHUSHUFINDI","SHUSHUFINDI CENTRO","31/05/2014","5:30","Asesinatos","47","MASCULINO","CASADO","ECUADOR"
"93","ZONA 1","ESMERALDAS","QUININDE","QUININDE","CUPA","30/05/2014","0:00","Asesinatos","41","MASCULINO","SOLTERO","ECUADOR"
"94","ZONA 3","COTOPAXI","LA_MANA","LA MANA","LA MANA SUR","31/05/2014","4:30","Asesinatos","27","MASCULINO","SOLTERO","ECUADOR"
"95","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","SOLANDA","31/05/2014","22:00","Homicidios","17","MASCULINO","SOLTERO","ECUADOR"
"96","ZONA 9","PICHINCHA","QUITO","LA DELICIA","POMASQUI","31/05/2014","20:30","Homicidios","36","MASCULINO","SOLTERO","ECUADOR"
"97","ZONA 8","GUAYAS","GUAYAQUIL","PASCUALES","BASTION POPULAR SUR","31/05/2014","3:30","Asesinatos","33","MASCULINO","SOLTERO","ECUADOR"
"98","ZONA 1","SUCUMBIOS","LAGO_AGRIO","LAGO AGRIO","SANTA CECILIA","01/06/2014","6:30","Asesinatos","22","MASCULINO","SOLTERO","ECUADOR"
"99","ZONA 1","SUCUMBIOS","LAGO_AGRIO","LAGO AGRIO","LAS PALMERAS","01/06/2014","4:00","Asesinatos","16","MASCULINO","SOLTERO","COLOMBIA"
"100","ZONA 5","GUAYAS","BALZAR","BALZAR","BALZAR SUR","01/06/2014","10:20","Asesinatos","36","MASCULINO","SOLTERO","ECUADOR"
"101","ZONA 8","GUAYAS","GUAYAQUIL","SUR","7 LAGOS","30/05/2014","23:00","Asesinatos","40","MASCULINO","UNION LIBRE","ECUADOR"
"102","ZONA 5","GUAYAS","NARANJAL","NARANJAL BALAO","NARANJAL SUR","01/06/2014","1:00","Asesinatos","70","MASCULINO","DIVORCIADO","ECUADOR"
"103","ZONA 9","PICHINCHA","QUITO","ELOY ALFARO","ARGELIA","02/06/2014","9:15","Homicidios","36","FEMENINO","CASADO","ECUADOR"
"104","ZONA 1","ESMERALDAS","SAN_LORENZO","SAN LORENZO","FRONTERA","02/06/2014","6:30","Homicidios","33","MASCULINO","SOLTERO","ECUADOR"
"105","ZONA 7","EL_ORO","MACHALA","MACHALA","27 DE FEBRERO","03/06/2014","1:30","Homicidios","22","MASCULINO","SOLTERO","ECUADOR"
"106","ZONA 7","EL_ORO","MACHALA","MACHALA","27 DE FEBRERO","02/06/2014","22:00","Homicidios","66","MASCULINO","VIUDO","ECUADOR"
"107","ZONA 5","GUAYAS","SIMON_BOLIVAR","JUJAN SIMON BOLIVAR","SIMON BOLIVAR","02/06/2014","20:00","Homicidios","37","MASCULINO","UNION LIBRE","ECUADOR"
"108","ZONA 1","SUCUMBIOS","LAGO_AGRIO","LAGO AGRIO","GENERAL FARFAN","03/06/2014","14:00","Homicidios","46","MASCULINO","CASADO","COLOMBIA"
"109","ZONA 5","GUAYAS","SIMON_BOLIVAR","JUJAN SIMON BOLIVAR","SIMON BOLIVAR","02/06/2014","20:00","Homicidios","41","MASCULINO","UNION LIBRE","ECUADOR"
"110","ZONA 5","GUAYAS","EL_TRIUNFO","EL TRIUNFO BUCAY","EL TRIUNFO CENTRO","03/06/2014","21:30","Asesinatos","39","MASCULINO","UNION LIBRE","ECUADOR"
"111","ZONA 8","GUAYAS","GUAYAQUIL","9 DE OCTUBRE","VENEZUELA","04/06/2014","21:30","Asesinatos","35","MASCULINO","DIVORCIADO","ECUADOR"
"112","ZONA 4","SANTO_DOMINGO_DE_LOS_TSACHILAS","SANTO_DOMINGO","SANTO DOMINGO OESTE","VALLE HERMOSO","03/06/2014","11:30","Asesinatos","51","MASCULINO","CASADO","ECUADOR"
"113","ZONA 6","AZUAY","CAMILO_PONCE_ENRIQUEZ","PONCE ENRIQUEZ","CAMILO PONCE ENRIQUEZ","04/06/2014","17:20","Asesinatos","15","MASCULINO","SOLTERO","ECUADOR"
"114","ZONA 5","LOS_RIOS","BABAHOYO","BABAHOYO","PIMOCHA","05/06/2014","19:45","Asesinatos","21","MASCULINO","SOLTERO","ECUADOR"
"115","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","ESTEROS","06/06/2014","4:00","Femicidios","28","FEMENINO","CASADO","ECUADOR"
"116","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","TRINITARIA NORTE","06/06/2014","23:30","Asesinatos","26","MASCULINO","SOLTERO","ECUADOR"
"117","ZONA 8","GUAYAS","GUAYAQUIL","FLORIDA","MAPASINGUE","07/06/2014","0:15","Asesinatos","29","MASCULINO","SOLTERO","ECUADOR"
"118","ZONA 1","ESMERALDAS","QUININDE","QUININDE","ROSA ZARATE","07/06/2014","21:00","Asesinatos","24","MASCULINO","SOLTERO","ECUADOR"
"119","ZONA 8","GUAYAS","GUAYAQUIL","SUR","GUASMO","07/06/2014","16:30","Asesinatos","42","MASCULINO","CASADO","ECUADOR"
"120","ZONA 8","GUAYAS","DURAN","DURAN","ARBOLITO","04/06/2014","0:00","Asesinatos","72","MASCULINO","SOLTERO","ECUADOR"
"121","ZONA 8","GUAYAS","GUAYAQUIL","MODELO","SAUCES","08/06/2014","6:00","Asesinatos","36","FEMENINO","SOLTERO","ECUADOR"
"122","ZONA 6","AZUAY","CUENCA","CUENCA SUR","CAYAMBE","08/06/2014","1:00","Asesinatos","22","FEMENINO","SOLTERO","ECUADOR"
"123","ZONA 1","IMBABURA","COTACACHI","TIERRA DEL SOL","GARCIA MORENO","08/06/2014","4:00","Asesinatos","26","MASCULINO","SOLTERO","ECUADOR"
"124","ZONA 4","MANABI","BOLIVAR","BOLIVAR JUNIN","MEMBRILLO","08/06/2014","19:15","Asesinatos","55","MASCULINO","DIVORCIADO","ECUADOR"
"125","ZONA 4","SANTO_DOMINGO_DE_LOS_TSACHILAS","SANTO_DOMINGO","SANTO DOMINGO OESTE","BOMBOLI","05/06/2014","13:30","Asesinatos","36","MASCULINO","CASADO","ECUADOR"
"126","ZONA 5","GUAYAS","EL_EMPALME","EL EMPALME","EMPALME SUROESTE","10/06/2014","12:25","Asesinatos","26","MASCULINO","SOLTERO","ECUADOR"
"127","ZONA 5","GUAYAS","NARANJAL","NARANJAL BALAO","NARANJAL SUR","09/06/2014","23:00","Asesinatos","25","MASCULINO","SOLTERO","ECUADOR"
"128","ZONA 8","GUAYAS","GUAYAQUIL","MODELO","ALBORADA","10/06/2014","23:00","Asesinatos","19","MASCULINO","SOLTERO","ECUADOR"
"129","ZONA 9","PICHINCHA","QUITO","QUITUMBE","CHILLOGALLO","10/06/2014","22:10","Homicidios","26","FEMENINO","SOLTERO","ECUADOR"
"130","ZONA 9","PICHINCHA","QUITO","NANEGAL","PACTO","10/06/2014","19:10","Homicidios","23","FEMENINO","UNION LIBRE","COLOMBIA"
"131","ZONA 9","PICHINCHA","QUITO","LA DELICIA","EL MIRADOR","12/06/2014","3:40","Homicidios","42","MASCULINO","SOLTERO","ECUADOR"
"132","ZONA 8","GUAYAS","GUAYAQUIL","FLORIDA","JUAN MONTALVO","11/06/2014","14:40","Asesinatos","35","FEMENINO","CASADO","ECUADOR"
"133","ZONA 8","GUAYAS","GUAYAQUIL","NUEVA PROSPERINA","PARAISO LA FLOR","12/06/2014","18:30","Asesinatos","23","MASCULINO","SOLTERO","ECUADOR"
"134","ZONA 5","SANTA_ELENA","SANTA_ELENA","SANTA ELENA","MONTAÑITA","12/06/2014","12:30","Homicidios","26","MASCULINO","SOLTERO","ECUADOR"
"135","ZONA 8","GUAYAS","GUAYAQUIL","SUR","FLORESTA","12/06/2014","19:00","Asesinatos","37","MASCULINO","CASADO","ECUADOR"
"136","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","ESTEROS","12/06/2014","22:30","Asesinatos","28","MASCULINO","SOLTERO","ECUADOR"
"137","ZONA 8","GUAYAS","DURAN","DURAN","RECREO","13/06/2014","17:36","Asesinatos","22","MASCULINO","SOLTERO","ECUADOR"
"138","ZONA 3","CHIMBORAZO","GUANO","GUANO","GUANO","14/06/2014","8:00","Asesinatos","24","FEMENINO","CASADO","ECUADOR"
"139","ZONA 1","ESMERALDAS","QUININDE","QUININDE","CUBE","13/06/2014","23:30","Asesinatos","31","MASCULINO","SOLTERO","ECUADOR"
"140","ZONA 4","MANABI","SANTA_ANA","24 DE MAYO","SAN PABLO DE PUEBLO NUEVO","14/06/2014","20:30","Homicidios","34","MASCULINO","SOLTERO","ECUADOR"
"141","ZONA 9","PICHINCHA","QUITO","QUITUMBE","CHILLOGALLO","14/06/2014","11:40","Homicidios","22","MASCULINO","SOLTERO","ECUADOR"
"142","ZONA 6","AZUAY","CUENCA","CUENCA NORTE","BELLAVISTA","14/06/2014","17:30","Asesinatos","29","MASCULINO","SOLTERO","ECUADOR"
"143","ZONA 1","ESMERALDAS","ESMERALDAS","ESMERALDAS","GUACHARACA","14/06/2014","23:45","Asesinatos","32","MASCULINO","CASADO","ECUADOR"
"144","ZONA 9","PICHINCHA","QUITO","QUITUMBE","LAS CUADRAS","15/06/2014","5:00","Homicidios","29","MASCULINO","CASADO","ECUADOR"
"145","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","ESTEROS","14/06/2014","23:00","Asesinatos","18","MASCULINO","UNION LIBRE","ECUADOR"
"146","ZONA 1","ESMERALDAS","QUININDE","QUININDE","CUBE","15/06/2014","11:40","Asesinatos","49","MASCULINO","SOLTERO","ECUADOR"
"147","ZONA 5","LOS_RIOS","QUEVEDO","QUEVEDO","7 DE OCTUBRE","15/06/2014","19:40","Asesinatos","44","MASCULINO","DIVORCIADO","ECUADOR"
"148","ZONA 1","ESMERALDAS","SAN_LORENZO","SAN LORENZO","FRONTERA","15/06/2014","15:00","Homicidios","55","MASCULINO","SOLTERO","ECUADOR"
"149","ZONA 1","ESMERALDAS","ESMERALDAS","ESMERALDAS","CORDERO CRESPO","15/06/2014","22:30","Asesinatos","24","MASCULINO","SOLTERO","ECUADOR"
"150","ZONA 5","LOS_RIOS","VINCES","VINCES","VINCES SUR","16/06/2014","3:40","Asesinatos","20","MASCULINO","SOLTERO","ECUADOR"
"151","ZONA 8","GUAYAS","GUAYAQUIL","ESTEROS","MALVINAS NORTE","16/06/2014","1:00","Asesinatos","37","MASCULINO","SOLTERO","ECUADOR"
"152","ZONA 2","ORELLANA","LA_JOYA_DE_LOS_SACHAS","LA JOYA DE LOS SACHAS","SAN PEDRO","04/05/2014","20:00","Asesinatos","28","MASCULINO","SOLTERO","ECUADOR"
"153","ZONA 5","LOS_RIOS","VINCES","VINCES","ANTONIO SOTOMAYOR","16/06/2014","14:00","Asesinatos","41","MASCULINO","CASADO","ECUADOR"
"154","ZONA 5","LOS_RIOS","BABAHOYO","BABAHOYO","UNIVERSIDAD","26/05/2014","12:15","Homicidios","45","MASCULINO","CASADO","ECUADOR"
"155","ZONA 5","GUAYAS","EL_EMPALME","EL EMPALME","PUERTO DEL MONO","15/06/2014","3:00","Homicidios","33","FEMENINO","SOLTERO","ECUADOR"
"156","ZONA 4","SANTO_DOMINGO_DE_LOS_TSACHILAS","SANTO_DOMINGO","SANTO DOMINGO OESTE","BOMBOLI","03/06/2014","20:30","Asesinatos","25","MASCULINO","SOLTERO","ECUADOR"
"157","ZONA 8","GUAYAS","GUAYAQUIL","PORTETE","PORTETE","11/04/2014","11:00","Asesinatos","59","MASCULINO","CASADO","ECUADOR"
"158","ZONA 9","PICHINCHA","QUITO","LA DELICIA","EL CONDADO","16/06/2014","20:00","Homicidios","27","MASCULINO","SOLTERO","ECUADOR"
"159","ZONA 1","ESMERALDAS","ELOY_ALFARO","ELOY ALFARO","BORBON","18/06/2014","23:00","Asesinatos","50","MASCULINO","CASADO","ECUADOR"
"160","ZONA 9","PICHINCHA","QUITO","LA DELICIA","COTOCOLLAO","19/06/2014","13:00","Homicidios","43","MASCULINO","CASADO","ECUADOR"
"161","ZONA 5","GUAYAS","SAN_JACINTO_DE_YAGUACHI","YAGUACHI","YAGUACHI SUR","20/06/2014","4:00","Asesinatos","46","FEMENINO","SOLTERO","ECUADOR"
